1	3.309200	0.000000	6.019200
2	1.621200	1.080792	4.331200
3	2.841300	1.036055	5.551300
4	3.274300	0.820542	5.984300
5	3.364300	0.743832	6.074300
6	3.549200	0.657496	6.259200
7	3.653400	0.639138	6.363400
8	3.662100	0.617455	6.372100
9	3.396900	0.572807	6.106900
10	3.416800	0.559429	6.126800
11	3.569500	0.523442	6.279500
12	3.778200	0.522672	6.488200
13	3.858100	0.499389	6.568100
14	3.852600	0.482477	6.562600
15	3.831500	0.461853	6.541500
16	3.459100	0.469093	6.169100
17	3.272100	0.453288	5.982100
18	3.370400	0.431965	6.080400
19	3.383900	0.420660	6.093900
20	3.367200	0.411301	6.077200
21	3.270100	0.411852	5.980100
22	3.077600	0.437851	5.787600
23	3.161100	0.425074	5.871100
24	3.110400	0.416688	5.820400
25	3.169000	0.411612	5.879000
26	3.148400	0.406667	5.858400
27	3.118700	0.395410	5.828700
28	3.029100	0.387243	5.739100
29	2.958100	0.378630	5.668100
30	2.980600	0.371701	5.690600
31	2.998100	0.366423	5.708100
32	2.968100	0.359003	5.678100
33	3.002200	0.355142	5.712200
34	3.090400	0.347546	5.800400
35	3.062800	0.349413	5.772800
36	3.096300	0.342120	5.806300
37	3.176300	0.337431	5.886300
38	3.124000	0.333477	5.834000
39	3.140300	0.328306	5.850300
40	3.085000	0.328061	5.795000
