lCAT-4m-lCAT-4j	1.016020	0.047625	0.130000	BACE
lCAT-13n-lCAT-4i	-0.597400	0.137782	0.280000	BACE
l18-l19	0.386300	0.054022	-0.010000	BACE_hunt
l21-l37	1.379295	0.107856	0.770000	BACE_hunt
l25-l14	0.627790	0.063303	-0.970000	BACE_hunt
l28-l34	-0.341740	0.116661	-1.250000	BACE_hunt
l30-l29	-0.234130	0.035039	0.400000	BACE_p2
l33-l30 -0.258010       0.045973        -0.200000       BACE_p2
l8c-l17c	-2.028800	0.835435	-3.500000	BACE_scaff
l17c-l27c	1.833800	1.330515	1.700000	BACE_scaff
l8d-l17d	-0.149790	1.008817	-3.200000	BACE_scaff
l8g-l27g	3.957602	0.772423	-0.900000	BACE_scaff
l31-l32	0.628500	0.123152	-0.211000	CDK2
l1oiu-l1h1q	5.032680	0.136341	0.904000	CDK2
lCHEMBL3402747_3400_7-lCHEMBL3402745_200_5	-0.285800	0.109766	-1.680000	CMET
lCHEMBL3402749_500_9-lCHEMBL3402747_3400_7	1.588840	0.086610	1.140000	CMET
lCHEMBL3402752_30000_12-lCHEMBL3402755_4200_15	-2.776068	0.127165	-1.170000	CMET
l18659-1-l18634-1	-0.520460	0.063116	-0.530000	JNK1
l35-l37	-0.839100	0.048607	-0.140000	MCL1
l67-l53	-0.969460	0.564569	-2.380000	MCL1
lp38a_3fln-lp38a_2g	-0.342350	0.030952	0.220000	P38
lp38a_2l-lp38a_2o	0.820600	0.110747	1.770000	P38
lp38a_3flz-lp38a_2g	0.968280	0.051255	-1.170000	P38
lp38a_2s-lp38a_2l	-0.971620	0.076242	-1.150000	P38
l49175789-l49072088	1.689200	0.284236	2.310000	PDE2
l50181001-l49582390	-2.013163	0.144645	-1.260000	PDE2
l23486-l23479   0.686700        0.271447        3.330000        PTP1B
l20670-l23482	-0.375900	0.104361	-0.920000	PTP1B
l1b-l1c -0.101426       0.041854        -0.100000       Thrombin
lejm_45-lejm_42	0.332503	0.049682	-0.220000	TYK2
