lCAT-4m-lCAT-13k	-0.348670	0.133371	-0.550000	BACE
lCAT-13n-lCAT-13a	-1.174600	0.075290	-0.300000	BACE
l1a-l18	-2.567330	0.095281	-3.820000	BACE_hunt
l24-l14	1.714816	0.075398	-0.050000	BACE_hunt
l33-l13	-0.927621	0.074468	-2.500000	BACE_hunt
l38-l34	-0.215450	0.034053	-0.860000	BACE_hunt
l28-l38	-0.377230	0.093924	0.000000	BACE_p2
l31-l29	-0.191897	0.055814	0.400000	BACE_p2
l8b-l27b	2.576320	1.124621	-1.600000	BACE_scaff
l30-l31	-0.921811	0.092019	0.273000	CDK2
lCHEMBL3402747_3400_7-lCHEMBL3402748_5300_8	3.079680	0.129792	0.260000	CMET
lCHEMBL3402755_4200_15-lCHEMBL3402761_1_21	-1.477760	0.195239	-4.940000	CMET
lNMe2-lNH2	0.007290	0.074047	-0.760000	Galectin
l62-l45 -1.864900       0.921661        -1.000000       MCL1
l54-l23	0.757960	0.395945	0.950000	MCL1
l28-l47	-0.291773	0.220278	0.850000	MCL1
l67-l52 -0.871440       0.438344        -1.640000       MCL1
lp38a_2ee-lp38a_3fln	-0.531940	0.118479	1.380000	P38
lp38a_3fln-lp38a_2p	0.283210	0.109515	-0.320000	P38
lp38a_2z-lp38a_2y	0.057880	0.083920	0.580000	P38
lp38a_2g-lp38a_2f	0.530120	0.215703	2.180000	P38
l49137374-l48271249	0.766900	0.185736	0.410000	PDE2
l49585367-l49137530	-1.413730	0.086928	-1.560000	PDE2
l49932714-l49582390	-0.528030	0.097425	-0.910000	PDE2
l23467-l23468	0.050300	0.082259	-0.410000	PTP1B
l20670-l23477	0.141100	0.046202	0.230000	PTP1B
lejm_31-lejm_43	0.897700	0.055965	1.280000	TYK2
lejm_50-lejm_42	-0.453500	0.061797	-0.800000	TYK2
l1d-l6e	-0.008820	0.080705	-0.660000	Thrombin
l6a-l6b	0.389495	0.055483	0.290000	Thrombin
