l1d-l6e	0.042990	0.101865	-0.660000
l1d-l5	0.813595	0.179356	0.670000
l1b-l3b	2.149720	0.115355	0.600000
l6a-l1b	-0.859229	0.119932	0.720000
l1b-l1c	-0.117206	0.063220	-0.100000
l1d-l1c	-0.454727	0.073334	-0.310000
l1b-l1a	0.706017	0.141441	0.980000
l1a-l5	0.817860	0.123234	-0.100000
l3a-l1d	-0.143190	0.149601	0.070000
l6a-l6b	1.072327	0.131554	0.290000
l1d-l7a	2.098345	0.291829	0.030000
l1b-l7a	1.381930	0.244042	0.240000
l3a-l1b	-0.879390	0.095403	-0.140000
l1d-l1a	1.473034	0.278921	0.770000
l1a-l3b	1.311617	0.161218	-0.380000
l6e-l6b	1.402789	0.136164	0.020000
