l50-l60	-0.014270	0.591518	0.410000
l56-l35	2.659823	0.070905	0.450000
l65-l60	1.497202	0.019635	-0.510000
l26-l57	0.216750	0.631395	-0.800000
l58-l60	1.850591	0.505724	0.490000
l62-l45	-0.946300	1.491967	-1.000000
l60-l36	-0.080210	1.305636	0.740000
l30-l27	-0.312460	0.076340	1.740000
l33-l27	1.240583	0.107121	0.760000
l43-l27	0.001730	0.202151	0.920000
l67-l58	-1.936770	0.623177	-1.830000
l67-l32	4.134690	0.702889	1.000000
l30-l40	0.077790	0.212146	0.600000
l38-l60	-2.490600	0.618821	-1.900000
l41-l35	-1.090750	0.321959	-1.680000
l54-l23	1.677610	0.595713	0.950000
l56-l60	-1.316240	0.597703	0.340000
l66-l42	2.364450	0.632284	-0.470000
l29-l40	-0.696000	0.442060	-0.310000
l26-l44	-2.283650	0.501484	-0.440000
l49-l35	0.707450	0.167012	-0.450000
l29-l35	-3.040570	0.205768	-1.870000
l42-l51	-0.272090	0.065896	0.450000
l39-l32	0.567159	0.253260	0.440000
l35-l37	-1.549470	0.130175	-0.140000
l28-l35	-2.641700	0.244645	-2.190000
l35-l53	-3.272770	0.165803	-1.150000
l67-l63	-2.702327	0.745533	-1.480000
l27-l45	-2.733680	0.212123	-2.840000
l41-l32	1.631270	0.283688	0.550000
l67-l53	-0.433640	0.628215	-2.380000
l35-l33	0.263100	0.109561	1.940000
l27-l46	-0.072250	0.167666	-1.480000
l66-l23	1.480309	0.025564	-0.400000
l67-l61	1.486530	0.583884	-0.500000
l57-l23	-1.793960	0.541759	0.210000
l30-l35	-1.631240	0.100261	-0.960000
l61-l60	0.551600	0.153966	-0.840000
l67-l31	0.664320	0.866617	-0.340000
l32-l46	0.126660	0.191504	-1.020000
l35-l60	1.015730	1.309549	-0.100000
l31-l35	-0.835800	0.194570	-0.890000
l62-l26	0.714110	0.712649	-0.280000
l35-l36	0.276650	0.087206	0.630000
l26-l64	-0.871190	0.595761	-1.260000
l38-l35	-0.837570	0.449200	-1.790000
l35-l34	0.686760	0.255704	1.940000
l29-l27	-0.096060	0.463774	0.820000
l48-l27	-3.561100	0.249266	0.550000
l68-l45	-3.715300	0.997867	-1.260000
l63-l60	1.488027	0.070311	0.150000
l54-l42	1.881820	0.074026	0.880000
l44-l23	0.519160	0.642251	-0.160000
l28-l27	-0.381594	0.202959	0.510000
l67-l27	5.273850	0.948387	1.460000
l52-l60	0.786570	1.026469	0.310000
l27-l23	3.375100	0.743488	-2.710000
l49-l67	-1.564916	1.108628	0.780000
l28-l47	-0.064690	0.415378	0.850000
l67-l52	1.582040	1.149210	-1.640000
l30-l48	4.086170	0.229151	1.190000
l67-l35	1.024290	1.121915	-1.230000
l32-l34	-1.070288	0.235289	-0.290000
l65-l67	1.372450	0.530203	0.830000
l67-l50	1.940100	0.621007	-1.750000
l35-l39	1.830075	0.350292	1.790000
l43-l47	1.877477	0.298017	1.260000
l67-l37	1.150600	0.554221	-1.370000
l42-l64	-1.838900	0.628967	-0.600000
l51-l45	-3.765690	0.215394	-0.510000
l68-l23	-0.567140	0.527833	-1.140000
