lCAT-4m-lCAT-13k	1.779900	0.427868	-0.550000	BACE
lCAT-13n-lCAT-13a	3.238500	1.126478	-0.300000	BACE
l1a-l18	-2.261000	0.154511	-3.820000	BACE_hunt
l24-l14	2.061200	0.218663	-0.050000	BACE_hunt
l33-l13	-0.922750	0.133643	-2.500000	BACE_hunt
l38-l34	-1.051800	0.091405	-0.860000	BACE_hunt
l28-l38	0.709370	1.909923	0.000000	BACE_p2
l31-l29	-0.346630	0.415926	0.400000	BACE_p2
l8b-l27b	0.104900	0.610473	-1.600000	BACE_scaff
l30-l31	-0.704752	0.118636	0.273000	CDK2
lCHEMBL3402747_3400_7-lCHEMBL3402748_5300_8	0.126220	0.259103	0.260000	CMET
lCHEMBL3402755_4200_15-lCHEMBL3402761_1_21	-4.735600	0.279553	-4.940000	CMET
lNMe2-lNH2	0.165500	0.102584	-0.760000	Galectin
l62-l45	-2.233520	1.090082	-1.000000	MCL1
l54-l23	-0.020150	0.694923	0.950000	MCL1
l28-l47	0.082000	0.413513	0.850000	MCL1
l67-l52	-1.447030	0.730128	-1.640000	MCL1
lp38a_2ee-lp38a_3fln	0.333200	0.235201	1.380000	P38
lp38a_3fln-lp38a_2p	-0.833300	0.153292	-0.320000	P38
lp38a_2z-lp38a_2y	-0.788590	0.298912	0.580000	P38
lp38a_2g-lp38a_2f	1.464900	0.430789	2.180000	P38
l49137374-l48271249	1.794500	0.383099	0.410000	PDE2
l49585367-l49137530	-1.644700	0.271424	-1.560000	PDE2
l49932714-l49582390	-1.040700	0.255542	-0.910000	PDE2
l23467-l23468	0.124700	0.081153	-0.410000	PTP1B
l20670-l23477	-0.184100	0.204659	0.230000	PTP1B
lejm_31-lejm_43	1.916000	0.100529	1.280000	TYK2
lejm_50-lejm_42	-0.720200	0.068776	-0.800000	TYK2
l1d-l6e	-1.157400	0.958561	-0.660000	Thrombin
l6a-l6b	0.970500	0.227024	0.290000	Thrombin
