lCAT-4m-lCAT-4j	2.205800	0.151531	0.130000	BACE
lCAT-13n-lCAT-4i	-1.047500	0.588582	0.280000	BACE
l18-l19	0.431050	0.210511	-0.010000	BACE_hunt
l21-l37	1.328220	0.148963	0.770000	BACE_hunt
l25-l14	0.385910	0.184658	-0.970000	BACE_hunt
l28-l34	-1.103600	0.130412	-1.250000	BACE_hunt
l30-l29	-0.308100	0.076223	0.400000	BACE_p2
l33-l30	0.055200	0.385856	-0.200000	BACE_p2
l8c-l17c	-1.607700	0.212215	-3.500000	BACE_scaff
l17c-l27c	0.617529	0.958367	1.700000	BACE_scaff
l8d-l17d	-0.711100	0.298995	-3.200000	BACE_scaff
l8g-l27g	1.789000	0.566927	-0.900000	BACE_scaff
l31-l32	0.871300	0.362531	-0.211000	CDK2
l1oiu-l1h1q	2.734200	0.269483	0.904000	CDK2
lCHEMBL3402747_3400_7-lCHEMBL3402745_200_5	-2.660700	0.232285	-1.680000	CMET
lCHEMBL3402749_500_9-lCHEMBL3402747_3400_7	3.343400	0.213516	1.140000	CMET
lCHEMBL3402752_30000_12-lCHEMBL3402755_4200_15	-1.667170	0.222056	-1.170000	CMET
l18659-1-l18634-1	-0.318900	0.291472	-0.530000	JNK1
l35-l37	-1.225000	0.722608	-0.140000	MCL1
l67-l53	-1.583226	0.843894	-2.380000	MCL1
lp38a_3fln-lp38a_2g	-0.073179	0.336577	0.220000	P38
lp38a_2l-lp38a_2o	2.319400	0.279895	1.770000	P38
lp38a_3flz-lp38a_2g	-1.066600	0.394567	-1.170000	P38
lp38a_2s-lp38a_2l	-2.207400	0.602949	-1.150000	P38
l49175789-l49072088	2.540000	0.552156	2.310000	PDE2
l50181001-l49582390	-1.668540	0.327706	-1.260000	PDE2
l20670-l23482	-0.086900	0.159013	-0.920000	PTP1B
l23486-l23479	0.583530	0.425092	3.330000	PTP1B
lejm_45-lejm_42	0.646000	0.258742	-0.220000	TYK2
l1b-l1c	-0.102438	0.117480	-0.100000	Thrombin
